WordIndex,OriginalCode,RollupCode
1,202.65,PheCode:202
2,313.3,PheCode:300
3,719.84,PheCode:741
4,666.30,PheCode:286.3
8,375.61,PheCode:375
9,562.03,PheCode:562
9,562.03,PheCode:562.2
10,381.81,PheCode:381
10,381.81,PheCode:381.2
11,971.9,PheCode:971
12,307.23,PheCode:313
12,307.23,PheCode:313.2
13,201.98,PheCode:201
14,377.16,PheCode:377
14,377.16,PheCode:377.1
15,800.95,PheCode:819
16,948.85,PheCode:1000
17,661.10,PheCode:661
18,376.31,PheCode:242.3
19,473.1,PheCode:475
23,523.25,PheCode:523
23,523.25,PheCode:523.1
24,202.15,PheCode:202
24,202.15,PheCode:202.2
25,331.6,PheCode:331
26,873.32,PheCode:870
26,873.32,PheCode:870.4
27,173.1,PheCode:172
27,173.1,PheCode:172.2
28,942.11,PheCode:1000
29,078.6,PheCode:079
30,059.8,PheCode:079
31,773.5,PheCode:656
31,773.5,PheCode:656.1
32,718.77,PheCode:742
32,718.77,PheCode:742.2
34,910.9,PheCode:910
35,536.2,PheCode:789
35,536.2,PheCode:789.1
36,335.29,PheCode:334
36,335.29,PheCode:334.2
37,V10.63,PheCode:204
37,V10.63,PheCode:204.3
38,305.10,PheCode:318
39,378.15,PheCode:378
39,378.15,PheCode:378.1
40,945.50,PheCode:1000
42,756.82,PheCode:756
42,756.82,PheCode:756.3
43,652.40,PheCode:652
45,305.60,PheCode:316
46,772.14,PheCode:656
46,772.14,PheCode:656.4
47,E935.4,PheCode:965
48,039.3,PheCode:041
49,711.03,PheCode:711
49,711.03,PheCode:711.1
50,146.8,PheCode:149
50,146.8,PheCode:149.1
51,676.93,PheCode:676
52,901.81,PheCode:1007
53,804.01,PheCode:819
54,V75.9,PheCode:1010
55,200.18,PheCode:202
55,200.18,PheCode:202.2
55,200.18,PheCode:202.23
56,567.82,PheCode:567
57,V12.60,PheCode:519
57,V12.60,PheCode:519.8
58,V01.1,PheCode:1010
59,521.09,PheCode:521
59,521.09,PheCode:521.1
60,041.6,PheCode:041
61,339.3,PheCode:339
62,711.00,PheCode:711
62,711.00,PheCode:711.1
64,628.9,PheCode:626
64,628.9,PheCode:626.8
65,334.0,PheCode:334
65,334.0,PheCode:334.1
66,184.1,PheCode:184
66,184.1,PheCode:184.2
67,675.81,PheCode:647
68,716.29,PheCode:716
71,385.11,PheCode:385
71,385.11,PheCode:385.5
72,201.55,PheCode:201
73,633.00,PheCode:634
73,633.00,PheCode:634.3
74,753.1,PheCode:751
74,753.1,PheCode:751.2
74,753.1,PheCode:751.21
75,277.82,PheCode:277
75,277.82,PheCode:277.8
76,493.11,PheCode:495
76,493.11,PheCode:495.2
78,054.10,PheCode:054
79,998.89,PheCode:1011
80,804.15,PheCode:819
81,941.51,PheCode:1000
82,297.0,PheCode:295
82,297.0,PheCode:295.2
83,V10.60,PheCode:204
84,041.89,PheCode:041
85,801.65,PheCode:819
86,715.20,PheCode:740
86,715.20,PheCode:740.1
86,715.20,PheCode:740.12
87,202.05,PheCode:202
87,202.05,PheCode:202.2
87,202.05,PheCode:202.21
88,764.9,PheCode:637
89,719.92,PheCode:741
90,V13.52,PheCode:743
90,V13.52,PheCode:743.4
91,E937.6,PheCode:967
92,641.00,PheCode:635
92,641.00,PheCode:635.2
93,346.0,PheCode:340
93,346.0,PheCode:340.1
